symbol,market_cap,ldcp,open,high,low,close,change,percent_change,volume,company,sector,downloaded_at_utc,market_state,market_state_at_karachi
GADT,8773259479.0,318.45,319.98,319.98,313.0,313.0,-5.45,-1.71,6610.0,Gadoon Textile Mills Limited,TEXTILE SPINNING,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
ABOT,92368934937.0,935.86,945.0,960.0,935.0,943.5,7.64,0.82,14988.0,Abbott Laboratories (Pakistan) Limited,PHARMA,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
PABC,35930271273.0,99.45,98.16,101.44,98.16,99.5,0.05,0.05,3723.0,Pakistan Aluminium Beverage Cans Limited,MISC.,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
HALEON,84393959177.84,713.21,717.0,725.1,713.0,720.98,7.77,1.09,9691.0,Haleon Pakistan Limited,PHARMA,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
FHAM,3601991250.0,32.5,32.51,32.65,32.35,32.5,0.0,0.0,14191.0,First Habib Modaraba,MODARABAS,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
SHFA,30311296648.5,477.99,481.0,481.0,478.0,479.5,1.51,0.32,3297.0,Shifa International Hospitals Limited,MISC.,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
SCBPL,241974063812.5,63.35,62.0,63.29,61.85,62.5,-0.85,-1.34,13449.0,Standard Chartered Bank (Pak) Ltd,COMMERCIAL BANKS,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
SSOM,2517422160.0,444.55,447.97,447.97,444.9,444.9,0.35,0.08,384.0,S.S.Oil Mills Limited,VANASPATI & ALLIED,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
HINOON,49274532240.0,937.18,944.9,944.9,925.0,930.0,-7.18,-0.77,11397.0,Highnoon Laboratories Limited,PHARMA,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
BWCL,284042900765.54,477.16,477.16,477.16,474.0,476.38,-0.78,-0.16,2461.0,Bestway Cement Limited,CEMENT,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
PAKT,356413839840.0,1392.88,1377.11,1397.0,1377.11,1395.0,2.12,0.15,667.0,Pakistan Tobacco Company Limited,TOBACCO,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
MUREB,25671849568.0,924.03,925.0,930.0,925.0,928.0,3.97,0.43,1035.0,Murree Brewery Company Limited,FOOD & PERSONAL CARE,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
THALL,47807651030.0,571.66,578.0,594.0,575.0,590.0,18.34,3.21,12247.0,Thal Limited,AUTO PARTS,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
PKGS,68107182048.0,771.39,774.8,774.99,762.0,762.0,-9.39,-1.22,1395.0,Packages Limited,PAPER & PACKAGING,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
BNWM,636918750.0,66.13,67.4,67.4,66.25,67.0,0.87,1.32,102.0,Bannu Woollen Mills Limited,WOOLLEN,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
COLG,290599625736.0,1194.5,1209.89,1209.89,1189.01,1197.0,2.5,0.21,3804.0,Colgate-Palmolive (Pakistan) Limited,FOOD & PERSONAL CARE,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
ATLH,197399086998.0,1583.11,1590.0,1592.99,1550.0,1590.8,7.69,0.49,2425.0,Atlas Honda Limited,AUTO ASSEMBLER,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
IBFL,83681635152.5,265.02,260.0,269.5,260.0,269.5,4.48,1.69,956.0,Ibrahim Fibres Limited,SYNTHETIC & RAYON,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
PSEL,27645612500.0,861.58,861.0,870.95,841.61,850.0,-11.58,-1.34,1271.0,Pakistan Services Limited,MISC.,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
JDWS,52402853760.39,900.0,906.99,906.99,906.99,906.99,6.99,0.78,4.0,JDW Sugar Mills Limited,SUGAR & ALLIED,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
NESTLE,341028871680.0,7513.37,7479.11,7539.0,7479.11,7520.0,6.63,0.09,126.0,Nestle Pakistan Limited,FOOD & PERSONAL CARE,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
RMPL,85898520000.0,9318.33,9235.1,9307.0,9235.1,9300.0,-18.33,-0.2,44.0,Rafhan Maize Products Company Limited,FOOD & PERSONAL CARE,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
UPFL,162942860560.0,25649.0,25679.99,25679.99,25481.02,25580.0,-69.0,-0.27,34.0,Unilever Pakistan Foods Limited,FOOD & PERSONAL CARE,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
