symbol,ldcp,open,high,low,close,change,percent_change,volume,market_cap,company,sector,downloaded_at_utc
SCBPL,63.53,64.0,64.2,63.0,63.21,-0.32,-0.5,2810.0,244722889177.41,Standard Chartered Bank (Pak) Ltd,COMMERCIAL BANKS,2026-07-21T11:17:35+00:00
COLG,1233.22,1240.0,1244.99,1232.0,1234.45,1.23,0.1,2011.0,299691485371.60004,Colgate-Palmolive (Pakistan) Limited,FOOD & PERSONAL CARE PRODUCTS,2026-07-21T11:17:35+00:00
ATLH,1645.87,1650.0,1657.0,1642.11,1645.34,-0.53,-0.03,1971.0,204166842972.9,Atlas Honda Limited,AUTOMOBILE ASSEMBLER,2026-07-21T11:17:35+00:00
PAKT,1443.11,1447.98,1470.0,1445.1,1454.67,11.56,0.8,1372.0,371659154408.64,Pakistan Tobacco Company Limited,TOBACCO,2026-07-21T11:17:35+00:00
PKGS,802.49,800.0,800.0,795.01,800.0,-2.49,-0.31,1222.0,71503603200.0,Packages Limited,"PAPER, BOARD & PACKAGING",2026-07-21T11:17:35+00:00
FHAM,32.9,33.15,33.15,31.51,33.14,0.24,0.73,1152.0,3672922770.0,First Habib Modaraba,MODARABAS,2026-07-21T11:17:35+00:00
IBFL,297.62,304.99,305.0,297.62,302.18,4.56,1.53,186.0,93829003749.1,Ibrahim Fibres Limited,SYNTHETIC & RAYON,2026-07-21T11:17:35+00:00
RMPL,9269.67,9211.2,9450.0,9211.2,9263.65,-6.02,-0.06,159.0,85562776860.0,Rafhan Maize Products Company Limited,FOOD & PERSONAL CARE PRODUCTS,2026-07-21T11:17:35+00:00
PSEL,894.89,904.95,904.95,885.02,896.74,1.85,0.21,143.0,29165795945.0,Pakistan Services Limited,MISCELLANEOUS,2026-07-21T11:17:35+00:00
NESTLE,7579.23,7656.95,7656.95,7635.0,7651.92,72.69,0.96,77.0,347011388801.28,Nestle Pakistan Limited,FOOD & PERSONAL CARE PRODUCTS,2026-07-21T11:17:35+00:00
UPFL,25440.0,25440.0,25440.0,25215.03,25250.02,-189.98,-0.75,36.0,160840910398.64,Unilever Pakistan Foods Limited,FOOD & PERSONAL CARE PRODUCTS,2026-07-21T11:17:35+00:00
JDWS,951.02,951.0,961.98,938.16,951.02,0.0,0.0,23.0,54946760144.22,JDW Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,2026-07-21T11:17:35+00:00
